Customer_ID,Preference Rate Towards Company_X,Rating Given,Company Chosen,Starting Location,Ending Location,Started Time,Ending Time,Unavailable Scooter,BREAKDOWN,Breakdown Time
13,0.5,1,1,Manhattan,Jones,16,76,false,true,24
24,0.4995004995004995,0,1,Manhattan,Queens,31,101,false,true,33
2,0.5,8,0,Queens,Stony,2,41,false,false,0
9,0.5,8,0,Stony,Queens,10,42,false,false,0
29,0.4995004995004995,2,0,Manhattan,Queens,35,119,false,true,53
26,0.4995004995004995,3,1,Manhattan,Queens,32,96,false,true,54
25,0.4995004995004995,5,1,Manhattan,Jones,31,79,false,true,55
12,0.5,9,1,Manhattan,Jones,15,58,false,false,0
16,0.5,8,1,Queens,Stony,22,61,false,false,0
18,0.4995004995004995,8,1,Queens,Stony,25,61,false,false,0
7,0.5,9,0,Stony,Jones,9,62,false,false,0
44,0.49670122525918947,0,0,Manhattan,Jones,65,109,true,false,0
11,0.5,6,1,Manhattan,Queens,13,93,false,true,67
23,0.4995004995004995,9,0,Queens,Stony,30,69,false,false,0
4,0.5,8,0,Manhattan,Jones,6,71,false,false,0
49,0.49814126394052044,0,0,Manhattan,Queens,70,155,true,false,0
8,0.5,9,0,Manhattan,Jones,10,74,false,false,0
52,0.5018450184501845,0,0,Manhattan,Queens,73,137,true,false,0
6,0.5,8,1,Manhattan,Jones,9,75,false,false,0
22,0.4995004995004995,8,0,Queens,Stony,29,75,false,false,0
37,0.5073746312684366,8,1,Queens,Stony,47,83,false,true,76
1,0.5,9,1,Manhattan,Queens,1,77,false,false,0
3,0.5,8,0,Jones,Stony,3,77,false,false,0
56,0.5022381378692927,0,0,Manhattan,Queens,76,183,true,false,0
57,0.5017636684303352,0,0,Manhattan,Jones,79,126,true,false,0
35,0.5073746312684366,8,1,Queens,Stony,45,83,false,false,0
14,0.5,9,0,Manhattan,Jones,20,88,false,false,0
63,0.4982486865148862,0,0,Manhattan,Queens,87,181,true,true,154
46,0.49670122525918947,3,1,Manhattan,Jones,66,125,false,true,89
15,0.5,9,0,Stony,Jones,20,91,false,false,0
65,0.5008665511265165,0,1,Manhattan,Jones,89,157,false,true,92
19,0.4995004995004995,8,0,Manhattan,Jones,25,95,false,false,0
73,0.5047291487532244,0,1,Stony,Jones,94,152,false,true,96
41,0.5043816942551119,9,0,Stony,Queens,55,105,false,false,0
81,0.5081127241673783,0,0,Manhattan,Queens,104,177,true,true,157
75,0.5081127241673783,1,0,Queens,Stony,96,148,false,true,106
83,0.5122777307366638,0,0,Manhattan,Jones,106,177,true,false,0
45,0.49670122525918947,8,0,Queens,Stony,65,108,false,false,0
85,0.5122777307366638,0,0,Manhattan,Queens,107,171,true,false,0
5,0.5,9,0,Manhattan,Queens,7,111,false,false,0
17,0.4995004995004995,8,0,Manhattan,Queens,25,111,false,false,0
28,0.4995004995004995,8,0,Stony,Jones,34,111,false,false,0
79,0.5081127241673783,1,1,Manhattan,Jones,102,173,false,true,111
88,0.5155592935239697,0,0,Manhattan,Queens,110,198,true,false,0
20,0.4995004995004995,9,0,Manhattan,Queens,26,112,false,false,0
90,0.5285947712418301,0,0,Manhattan,Jones,112,187,true,true,115
51,0.5018450184501845,6,0,Manhattan,Jones,71,139,false,true,115
93,0.5285947712418301,0,0,Manhattan,Queens,114,186,true,false,0
10,0.5,8,0,Manhattan,Queens,12,116,false,false,0
31,0.5034687809712587,8,0,Queens,Manhattan,41,117,false,false,0
33,0.5073746312684366,8,0,Queens,Manhattan,42,118,false,false,0
32,0.5073746312684366,9,0,Manhattan,Queens,42,119,false,false,0
39,0.5073746312684366,9,1,Manhattan,Queens,50,119,false,false,0
84,0.5122777307366638,3,1,Stony,Queens,106,144,false,true,121
96,0.5308943089430894,2,0,Queens,Stony,115,147,false,true,122
30,0.4995004995004995,9,0,Manhattan,Queens,36,123,false,false,0
34,0.5073746312684366,9,0,Manhattan,Queens,44,126,false,false,0
43,0.49670122525918947,9,0,Manhattan,Queens,63,127,false,false,0
77,0.5081127241673783,8,0,Queens,Stony,97,135,false,true,131
92,0.5285947712418301,3,1,Manhattan,Jones,113,169,false,true,131
21,0.4995004995004995,9,0,Manhattan,Queens,29,132,false,false,0
74,0.5081127241673783,4,1,Manhattan,Queens,96,182,false,true,132
42,0.5,7,1,Manhattan,Queens,60,160,false,true,133
100,0.539308176100629,2,1,Manhattan,Jones,119,169,false,true,133
38,0.5073746312684366,9,1,Manhattan,Queens,49,138,false,true,134
48,0.49814126394052044,6,1,Manhattan,Queens,69,176,false,true,134
59,0.4982486865148862,9,0,Queens,Stony,83,134,false,false,0
60,0.4982486865148862,9,1,Jones,Stony,85,140,false,false,0
27,0.4995004995004995,8,1,Manhattan,Queens,34,141,false,false,0
54,0.505946935041171,7,1,Stony,Jones,74,167,false,true,141
72,0.5047291487532244,8,0,Queens,Stony,94,141,false,false,0
98,0.539872408293461,7,1,Queens,Stony,118,155,false,true,144
55,0.5058611361587015,9,0,Manhattan,Queens,75,145,false,false,0
70,0.5047291487532244,7,1,Manhattan,Jones,93,161,false,true,145
69,0.5047291487532244,8,1,Manhattan,Jones,93,146,false,false,0
138,0.5353107344632768,0,0,Manhattan,Jones,145,186,true,false,0
76,0.5081127241673783,9,1,Manhattan,Jones,97,147,false,false,0
94,0.5285947712418301,9,0,Queens,Stony,114,148,false,false,0
97,0.5339256865912763,9,1,Queens,Stony,116,150,false,true,148
107,0.5419906687402799,4,1,Queens,Stony,123,175,false,true,148
47,0.4939081537019681,9,1,Jones,Stony,68,154,false,true,149
137,0.535,0,0,Stony,Jones,144,229,false,true,149
66,0.5008665511265165,9,1,Manhattan,Jones,90,150,false,false,0
135,0.535,0,1,Manhattan,Queens,144,227,false,true,150
141,0.5239071038251366,0,0,Manhattan,Jones,149,212,true,false,0
80,0.5081127241673783,8,1,Stony,Jones,102,153,false,false,0
68,0.5008665511265165,8,1,Stony,Jones,90,154,false,false,0
36,0.5073746312684366,9,0,Queens,Manhattan,46,155,false,false,0
91,0.5285947712418301,8,0,Manhattan,Jones,112,156,false,false,0
53,0.5018450184501845,8,1,Queens,Manhattan,73,158,false,false,0
78,0.5081127241673783,9,0,Manhattan,Queens,98,160,false,false,0
110,0.5451737451737452,5,1,Queens,Stony,126,183,false,true,160
62,0.4982486865148862,8,1,Manhattan,Queens,86,164,false,false,0
58,0.5017636684303352,8,0,Stony,Jones,79,165,false,false,0
104,0.5387627251370399,8,1,Queens,Stony,122,166,false,false,0
40,0.5073746312684366,9,0,Manhattan,Queens,52,167,false,false,0
153,0.518979057591623,1,1,Manhattan,Jones,162,212,false,true,167
87,0.5155592935239697,9,0,Stony,Jones,108,168,false,false,0
160,0.521323997453851,0,0,Manhattan,Queens,168,272,true,false,0
61,0.4982486865148862,9,0,Stony,Jones,85,170,false,false,0
115,0.5483128834355828,8,0,Manhattan,Jones,128,170,false,false,0
111,0.5451737451737452,8,1,Manhattan,Jones,126,178,false,true,171
161,0.521323997453851,0,1,Manhattan,Jones,169,221,false,true,171
118,0.5512048192771084,9,0,Queens,Stony,132,172,false,false,0
151,0.518979057591623,2,1,Manhattan,Jones,162,216,false,true,173
106,0.5419906687402799,8,0,Manhattan,Jones,123,174,false,false,0
50,0.5018450184501845,9,0,Queens,Manhattan,71,175,false,false,0
99,0.539308176100629,8,0,Queens,Stony,119,175,false,false,0
154,0.518979057591623,2,1,Stony,Queens,162,210,false,true,175
127,0.544452608376194,8,0,Stony,Queens,137,176,false,false,0
108,0.5419906687402799,9,0,Stony,Jones,123,177,false,false,0
125,0.544452608376194,9,0,Queens,Stony,137,179,false,false,0
159,0.5185659411011524,1,1,Manhattan,Jones,167,240,false,true,181
126,0.544452608376194,8,1,Manhattan,Jones,137,182,false,false,0
132,0.5376884422110553,8,1,Stony,Queens,142,191,false,true,183
162,0.521323997453851,2,1,Stony,Jones,169,234,false,true,183
89,0.5251028806584362,8,1,Stony,Jones,111,184,false,false,0
140,0.5271477663230241,8,1,Queens,Stony,148,185,false,false,0
101,0.539308176100629,9,1,Manhattan,Queens,120,186,false,false,0
102,0.539308176100629,9,0,Queens,Manhattan,120,186,false,false,0
178,0.5311203319502075,0,1,Stony,Queens,184,236,false,true,186
179,0.5286135693215339,0,0,Manhattan,Jones,185,240,true,false,0
86,0.5155592935239697,8,0,Jones,Stony,108,188,false,false,0
82,0.511864406779661,8,0,Jones,Stony,105,189,false,false,0
128,0.544452608376194,8,0,Manhattan,Jones,138,189,false,false,0
112,0.5451737451737452,8,1,Stony,Jones,126,190,false,false,0
130,0.5408759124087591,9,0,Manhattan,Jones,140,190,false,false,0
123,0.544452608376194,8,0,Manhattan,Jones,136,191,false,false,0
136,0.535,8,0,Manhattan,Jones,144,192,false,false,0
148,0.5178335535006605,9,1,Stony,Queens,158,193,false,false,0
105,0.5387627251370399,9,0,Manhattan,Jones,122,195,false,false,0
64,0.5021720243266724,9,0,Manhattan,Queens,88,198,false,false,0
167,0.5324357405140759,5,1,Queens,Stony,175,217,false,true,198
183,0.5347776510832383,2,1,Queens,Stony,190,226,false,true,198
114,0.5483128834355828,9,1,Manhattan,Jones,128,200,false,false,0
142,0.5207060420909708,8,1,Manhattan,Jones,150,200,false,false,0
155,0.5162760416666666,9,0,Queens,Stony,164,200,false,false,0
124,0.544452608376194,8,1,Queens,Manhattan,136,201,false,false,0
121,0.544452608376194,8,1,Jones,Stony,134,202,false,false,0
67,0.5008665511265165,8,1,Queens,Manhattan,90,203,false,false,0
71,0.5047291487532244,9,1,Manhattan,Queens,94,203,false,false,0
119,0.544452608376194,8,1,Manhattan,Jones,134,203,false,false,0
150,0.518979057591623,8,0,Queens,Stony,160,204,false,false,0
131,0.5376884422110553,8,1,Manhattan,Jones,142,207,false,false,0
134,0.5376884422110553,6,1,Queens,Manhattan,143,249,false,true,207
143,0.5207060420909708,8,1,Jones,Stony,151,208,false,false,0
157,0.5187823834196891,9,1,Queens,Stony,165,209,false,false,0
152,0.518979057591623,9,1,Queens,Stony,162,210,false,false,0
120,0.544452608376194,9,0,Queens,Manhattan,134,211,false,false,0
116,0.5483128834355828,9,1,Queens,Manhattan,129,212,false,false,0
129,0.5408759124087591,8,1,Manhattan,Queens,140,213,false,false,0
103,0.5380392156862746,9,1,Manhattan,Queens,121,215,false,false,0
133,0.5376884422110553,9,0,Manhattan,Jones,143,215,false,false,0
191,0.5314192849404117,1,1,Manhattan,Jones,202,274,false,true,216
95,0.5308943089430894,8,1,Manhattan,Queens,115,217,false,false,0
165,0.5258245177349098,8,1,Stony,Queens,173,218,false,false,0
122,0.544452608376194,8,1,Queens,Manhattan,135,236,false,true,219
187,0.5388026607538803,3,1,Queens,Stony,198,256,false,true,219
194,0.5263437998935604,5,1,Queens,Stony,205,237,false,true,221
145,0.5180240320427236,9,0,Manhattan,Jones,155,224,false,false,0
199,0.515372589890568,2,0,Jones,Stony,210,282,false,true,225
209,0.5045090180360722,0,1,Stony,Jones,222,298,false,true,225
117,0.5483128834355828,9,1,Manhattan,Queens,130,227,false,false,0
156,0.5187823834196891,8,0,Manhattan,Queens,165,227,false,false,0
172,0.5397590361445783,8,1,Manhattan,Jones,179,228,false,false,0
188,0.5388026607538803,5,1,Stony,Queens,198,255,false,true,230
158,0.5161082474226805,6,0,Queens,Manhattan,166,260,false,true,231
219,0.5036818851251841,0,0,Manhattan,Queens,230,317,true,true,308
149,0.518979057591623,8,0,Manhattan,Jones,160,232,false,false,0
176,0.5368484122228879,8,0,Manhattan,Jones,182,233,false,false,0
180,0.5286135693215339,5,1,Queens,Manhattan,185,270,false,true,234
190,0.5360655737704918,9,0,Queens,Stony,200,234,false,false,0
109,0.5451737451737452,9,1,Manhattan,Queens,126,235,false,false,0
197,0.5202524986849026,8,1,Stony,Queens,208,239,false,false,0
139,0.528960223307746,8,1,Jones,Stony,147,240,false,false,0
186,0.5385906040268457,9,0,Manhattan,Jones,196,240,false,false,0
196,0.5202524986849026,9,0,Queens,Stony,208,241,false,false,0
166,0.5281733746130031,8,0,Manhattan,Jones,174,242,false,false,0
195,0.5263437998935604,7,1,Stony,Queens,206,252,false,true,242
229,0.5082121069920226,0,0,Queens,Stony,242,296,true,false,0
113,0.5483128834355828,9,1,Manhattan,Queens,127,244,false,false,0
170,0.5372501514233797,9,0,Queens,Manhattan,178,244,false,false,0
164,0.5258245177349098,9,0,Jones,Stony,173,245,false,false,0
175,0.5368484122228879,9,1,Manhattan,Queens,182,245,false,false,0
146,0.5205843293492696,9,1,Manhattan,Queens,156,246,false,false,0
184,0.5347776510832383,9,0,Manhattan,Jones,190,246,false,false,0
231,0.5080091533180778,0,0,Queens,Manhattan,246,344,true,false,0
177,0.5336509827278142,8,0,Manhattan,Jones,183,257,false,true,248
233,0.5098039215686274,0,0,Queens,Stony,248,287,true,true,254
182,0.5347776510832383,9,0,Manhattan,Jones,190,250,false,false,0
168,0.5372501514233797,8,1,Queens,Manhattan,177,252,false,false,0
147,0.5178335535006605,8,0,Jones,Stony,158,254,false,false,0
171,0.5372501514233797,9,1,Manhattan,Jones,178,255,false,false,0
211,0.5067331670822942,5,1,Queens,Manhattan,224,289,false,true,259
205,0.5057759919638373,9,0,Queens,Stony,219,261,false,false,0
245,0.5104863900044623,0,0,Queens,Manhattan,261,342,true,false,0
246,0.5104863900044623,0,0,Queens,Stony,262,306,true,true,293
173,0.5397590361445783,9,1,Manhattan,Queens,180,264,false,false,0
247,0.5104863900044623,0,0,Queens,Stony,263,313,true,false,0
238,0.5117222723174031,2,1,Manhattan,Jones,254,296,false,true,266
224,0.5076849183477425,5,1,Stony,Jones,235,291,false,true,268
242,0.5085125448028673,1,1,Queens,Manhattan,259,347,false,true,270
255,0.5068675232609658,0,0,Queens,Stony,269,309,true,false,0
189,0.5388026607538803,8,0,Queens,Manhattan,199,271,false,false,0
256,0.5066430469441984,0,0,Manhattan,Jones,270,344,true,false,0
144,0.5180240320427236,8,1,Manhattan,Queens,155,272,false,false,0
181,0.5305055200464845,8,0,Manhattan,Queens,188,272,false,false,0
198,0.515372589890568,8,1,Manhattan,Queens,210,272,false,false,0
200,0.5176348547717843,9,1,Manhattan,Queens,211,272,false,false,0
259,0.5083848190644307,0,0,Queens,Stony,271,309,true,false,0
212,0.5072247135027405,9,0,Manhattan,Jones,225,273,false,false,0
248,0.5104863900044623,1,1,Jones,Stony,263,350,false,true,273
